acousticness,artist,danceability,day,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,month,position,speechiness,tempo,time_signature,title,valence,year
0.0229,tramaine,0.88,19.0,482133.0,0.526,0.0564,0.0,0.138,-7.635,1.0,10.0,1.0,0.0657,118.277,4.0,fall down (spirit of love),0.603,1985.0
0.0178,andre cymone,0.731,19.0,345507.0,0.9,0.000995,11.0,0.168,-7.363,1.0,10.0,8.0,0.0625,112.582,4.0,the dance electric,0.536,1985.0
0.141,miami sound machine,0.782,26.0,252933.0,0.874,0.0584,2.0,0.112,-7.157,1.0,10.0,7.0,0.0474,123.179,4.0,conga,0.859,1985.0
0.157,the flirts,0.68,9.0,266267.0,0.711,0.0803,8.0,0.0911,-12.968,1.0,11.0,1.0,0.038,111.144,4.0,you & me,0.884,1985.0
0.232,diana ross,0.769,9.0,235627.0,0.837,0.0103,8.0,0.9,-12.032,1.0,11.0,3.0,0.0411,128.808,4.0,eaten alive,0.962,1985.0
0.157,paul young,0.662,9.0,286173.0,0.869,0.0472,7.0,0.68,-7.753,0.0,11.0,8.0,0.0531,112.297,4.0,i'm gonna tear your playhouse down,0.801,1985.0
0.0176,val young,0.728,23.0,401987.0,0.778,0.00316,4.0,0.109,-6.204,0.0,11.0,7.0,0.0492,117.769,4.0,seduction,0.728,1985.0
0.052,tina turner,0.711,30.0,357541.0,0.909,0.00369,5.0,0.0704,-6.742,0.0,11.0,6.0,0.0341,111.128,4.0,one of the living,0.898,1985.0
0.0217,sheila e.,0.768,7.0,738053.0,0.612,0.0239,1.0,0.0513,-13.381,1.0,12.0,1.0,0.0454,113.798,4.0,a love bizarre,0.878,1985.0
0.0338,phyllis nelson,0.679,14.0,316027.0,0.723,1.46e-05,4.0,0.0946,-8.311,0.0,12.0,1.0,0.0382,121.475,4.0,i like you,0.773,1985.0
0.0142,total contrast,0.766,21.0,349533.0,0.499,4.02e-06,10.0,0.0883,-13.615,0.0,12.0,1.0,0.0752,111.067,4.0,takes a little time,0.705,1985.0
0.00774,"evelyn ""champagne"" king",0.729,21.0,290893.0,0.794,0.00458,10.0,0.0288,-8.505,0.0,12.0,5.0,0.0519,111.036,4.0,your personal touch,0.936,1985.0
0.0356,book of love,0.673,21.0,201840.0,0.899,0.784,0.0,0.0956,-2.996,1.0,12.0,8.0,0.0308,108.285,4.0,i touch roses,0.735,1985.0
0.0117,alisha,0.707,28.0,338227.0,0.932,0.0157,6.0,0.384,-7.538,0.0,12.0,1.0,0.0511,114.658,4.0,baby talk,0.835,1985.0
0.318,baltimora,0.684,28.0,378947.0,0.573,0.028,5.0,0.306,-12.3,1.0,12.0,6.0,0.0261,107.363,4.0,tarzan boy,0.716,1985.0
0.0833,five star,0.863,18.0,437400.0,0.693,0.000703,7.0,0.175,-4.822,0.0,1.0,9.0,0.0841,115.055,4.0,let me be the one (remix),0.734,1986.0
0.0276,eurythmics & aretha franklin,0.671,18.0,291533.0,0.769,0.0,10.0,0.217,-11.57,0.0,1.0,10.0,0.0326,136.776,4.0,sisters are doin' it for themselves,0.963,1986.0
0.00661,jocelyn brown,0.734,25.0,343333.0,0.686,0.0125,7.0,0.0615,-15.19,1.0,1.0,1.0,0.0451,107.799,4.0,love's gonna get you,0.646,1986.0
0.051,stephanie mills,0.692,1.0,233627.0,0.519,5.7e-06,10.0,0.106,-15.727,0.0,2.0,7.0,0.0673,109.333,4.0,stand back,0.626,1986.0
0.00148,james brown,0.754,15.0,282840.0,0.854,0.00692,0.0,0.0675,-7.114,1.0,2.0,3.0,0.0363,113.908,4.0,living in america,0.761,1986.0
0.0125,whitney houston,0.75,22.0,275212.0,0.763,4.08e-06,2.0,0.0706,-4.127,0.0,2.0,3.0,0.0338,117.992,4.0,how will i know (remix),0.679,1986.0
0.0253,propaganda,0.58,22.0,231933.0,0.811,0.326,10.0,0.249,-9.313,0.0,2.0,10.0,0.0308,107.463,4.0,p-machinery,0.698,1986.0
0.00149,the flirts,0.718,8.0,373000.0,0.634,0.0207,1.0,0.0767,-13.227,1.0,3.0,5.0,0.042,119.925,4.0,new toy,0.963,1986.0
0.296,falco,0.61,29.0,202236.0,0.817,0.00336,4.0,0.0884,-9.45,0.0,3.0,4.0,0.133,176.737,4.0,rock me amadeus,0.889,1986.0
0.215,nicole,0.679,29.0,224693.0,0.79,0.00147,2.0,0.337,-9.931,1.0,3.0,10.0,0.0335,118.866,4.0,don't you want my love,0.875,1986.0
0.166,nu shooz,0.785,5.0,218827.0,0.844,0.002,7.0,0.0681,-4.63,0.0,4.0,1.0,0.0574,103.968,4.0,i can't wait,0.94,1986.0
0.0151,janet jackson,0.838,5.0,300048.0,0.376,0.0127,1.0,0.0545,-13.313,1.0,4.0,2.0,0.0677,114.055,4.0,what have you done for me lately,0.83,1986.0
0.000253,joyce sims,0.777,19.0,368293.0,0.775,0.199,7.0,0.069,-7.368,1.0,4.0,6.0,0.0695,109.768,4.0,(you are my) all and all,0.441,1986.0
0.00611,bronski beat,0.695,19.0,219733.0,0.836,0.0,0.0,0.167,-12.965,1.0,4.0,7.0,0.0395,139.825,4.0,hit that perfect beat,0.629,1986.0
0.0214,the jets,0.774,26.0,271187.0,0.845,0.0943,1.0,0.0447,-10.181,1.0,4.0,4.0,0.058,120.342,4.0,crush on you,0.969,1986.0
0.00156,pet shop boys,0.71,3.0,333867.0,0.702,0.396,9.0,0.0685,-7.768,1.0,5.0,1.0,0.0349,123.024,4.0,west end girls (remix),0.811,1986.0
0.209,sylvester,0.811,10.0,300040.0,0.563,7.53e-05,7.0,0.689,-11.855,1.0,5.0,2.0,0.0303,113.063,4.0,living for the city,0.766,1986.0
0.109,e.g. daily,0.749,17.0,275347.0,0.911,0.0,0.0,0.823,-5.923,1.0,5.0,1.0,0.0386,115.276,4.0,"say it, say it",0.822,1986.0
0.00276,tka,0.715,17.0,317267.0,0.734,0.00306,1.0,0.295,-12.934,1.0,5.0,8.0,0.0467,117.204,4.0,one way love,0.734,1986.0
0.0151,level 42,0.715,24.0,482667.0,0.72,0.0335,6.0,0.0451,-8.217,0.0,5.0,4.0,0.0892,107.751,4.0,something about you (remix),0.773,1986.0
0.0334,miami sound machine,0.576,24.0,225653.0,0.752,0.299,0.0,0.0424,-6.213,0.0,5.0,10.0,0.0594,182.16,4.0,bad boy (remix),0.935,1986.0
0.0335,j.m. silk,0.657,14.0,240733.0,0.9,0.000115,6.0,0.119,-6.148,0.0,6.0,3.0,0.0374,119.668,4.0,shadows of your love,0.745,1986.0
0.209,the blow monkeys,0.624,14.0,371240.0,0.751,0.0133,11.0,0.308,-9.469,0.0,6.0,7.0,0.0748,103.735,4.0,digging your scene (remix),0.667,1986.0
0.00461,dhar braxton,0.769,21.0,225933.0,0.756,0.00306,11.0,0.172,-8.737,0.0,6.0,1.0,0.0336,115.163,4.0,jump back (set me free),0.671,1986.0
0.00454,abc,0.796,21.0,338240.0,0.634,0.0487,2.0,0.221,-9.684,1.0,6.0,5.0,0.0411,124.891,4.0,vanity kills (remix),0.867,1986.0
0.319,the s.o.s. band,0.875,21.0,366267.0,0.603,0.00981,6.0,0.0575,-11.995,1.0,6.0,8.0,0.0703,109.668,4.0,the finest,0.824,1986.0
0.00473,information society,0.759,21.0,466800.0,0.593,0.0637,5.0,0.0757,-14.671,1.0,6.0,10.0,0.0782,121.091,4.0,running,0.56,1986.0
